boundary,percentage,planet,a_center,mean_cmf,std_cmf,n_in_bin
0.5,0.1,Mercury,0.387,0.46012447935462203,0.051447095737606065,40
0.5,0.1,Venus,0.723,0.3028354189708255,0.02228948640274775,25
0.5,0.1,Earth,1.0,0.31181567085071693,0.017996777813768742,19
0.5,0.1,Mars,1.52,0.3175333704692798,0.02295159148591886,16
0.5,0.15,Mercury,0.387,0.5237352206853958,0.0656968177544613,40
0.5,0.15,Venus,0.723,0.28946178689635227,0.0256590232273484,25
0.5,0.15,Earth,1.0,0.2974935001958615,0.023121041848907183,19
0.5,0.15,Mars,1.52,0.3002287116947713,0.022231587962607144,16
0.5,0.2,Mercury,0.387,0.586450314321499,0.07953271220529623,40
0.5,0.2,Venus,0.723,0.27647191706343827,0.02932254781073591,25
0.5,0.2,Earth,1.0,0.28324498125183944,0.028520894561935874,19
0.5,0.2,Mars,1.52,0.2829340127154015,0.02151012983450671,16
0.5,0.25,Mercury,0.387,0.6475329129835783,0.09213675535165032,40
0.5,0.25,Venus,0.723,0.26392301623937364,0.03304186132479714,25
0.5,0.25,Earth,1.0,0.26912237382541077,0.034055878102200475,19
0.5,0.25,Mars,1.52,0.2656660587771627,0.020804368280214265,16
0.5,0.3,Mercury,0.387,0.7070081635564324,0.10467072353691617,40
0.5,0.3,Venus,0.723,0.25181263684416966,0.036724806363154276,25
0.5,0.3,Earth,1.0,0.25510801031668295,0.03962243469992924,19
0.5,0.3,Mars,1.52,0.24854787704781775,0.02011170548573116,16
0.6,0.1,Mercury,0.387,0.452405959353951,0.04896113234579562,40
0.6,0.1,Venus,0.723,0.3048403155381559,0.022830213022943368,25
0.6,0.1,Earth,1.0,0.3119082409721184,0.017263021897446263,19
0.6,0.1,Mars,1.52,0.31758000192103536,0.0228572405978338,16
0.6,0.15,Mercury,0.387,0.5122382402691821,0.06132491035051887,40
0.6,0.15,Venus,0.723,0.29239427956388647,0.02617464828553654,25
0.6,0.15,Earth,1.0,0.2975643993269979,0.02180298950896217,19
0.6,0.15,Mars,1.52,0.30026920660754475,0.022142131200381256,16
0.6,0.2,Mercury,0.387,0.5711517213464743,0.07316374887520129,40
0.6,0.2,Venus,0.723,0.28042002587749654,0.029767018829006127,25
0.6,0.2,Earth,1.0,0.2833354186549588,0.02662741097571227,19
0.6,0.2,Mars,1.52,0.2829565189749663,0.02137916365275315,16
0.6,0.25,Mercury,0.387,0.629059055534324,0.08452125770061322,40
0.6,0.25,Venus,0.723,0.268856385036994,0.03346066797240185,25
0.6,0.25,Earth,1.0,0.2692442470941987,0.031582339692958546,19
0.6,0.25,Mars,1.52,0.26560147092931297,0.020605425837424692,16
0.6,0.3,Mercury,0.387,0.6859479307547531,0.09555855726862185,40
0.6,0.3,Venus,0.723,0.25718494088482274,0.037415832511696,25
0.6,0.3,Earth,1.0,0.25522575369045736,0.03656068560932964,19
0.6,0.3,Mars,1.52,0.24839619509849722,0.01984138206084502,16
0.7,0.1,Mercury,0.387,0.4500589142830318,0.048102587552354185,40
0.7,0.1,Venus,0.723,0.30566973304163697,0.02245000158817115,25
0.7,0.1,Earth,1.0,0.3121818270924391,0.017168047867653472,19
0.7,0.1,Mars,1.52,0.3175648279710145,0.022833797999919626,16
0.7,0.15,Mercury,0.387,0.5088309109272079,0.06005181619896833,40
0.7,0.15,Venus,0.723,0.29357955494178417,0.025791736613764632,25
0.7,0.15,Earth,1.0,0.29797233653273364,0.021691093230171408,19
0.7,0.15,Mars,1.52,0.30024135847503913,0.022115655620081255,16
0.7,0.2,Mercury,0.387,0.5667850371594801,0.07156653240386512,40
0.7,0.2,Venus,0.723,0.28190507741014637,0.029431766963005947,25
0.7,0.2,Earth,1.0,0.28384212612853343,0.026532108853953747,19
0.7,0.2,Mars,1.52,0.28293019207034686,0.021347748974603217,16
0.7,0.25,Mercury,0.387,0.6238348994738654,0.08255910542460582,40
