,hash,mass,cmf,tot_disk_cmf,boundary,percentage,sim_id,semi
0,1.0,7.842082e-07,0.4319000285935972,0.33,0.5,0.1,1,0.349708347413361
1,2.0,5.796768e-07,0.5571051808180008,0.33,0.5,0.1,1,0.45995977955970757
2,5.0,3.638845e-06,0.2903638619568562,0.33,0.5,0.1,1,0.7735252810376932
3,12.0,1.267064e-06,0.38405959546036866,0.33,0.5,0.1,1,1.5045604060362747
4,114.0,2.8e-08,0.297,0.33,0.5,0.1,1,1.8700770857743962
5,116.0,2.8e-08,0.297,0.33,0.5,0.1,1,2.404664276984669
6,140.0,2.8e-08,0.297,0.33,0.5,0.1,1,0.7688832256341156
7,3783228500.0,1.575368e-08,0.0,0.33,0.5,0.1,1,5.2025292738827185
8,2.0,2.324357e-06,0.40574606188251117,0.33,0.5,0.1,2,0.4571792103237553
9,6.0,2.671496e-06,0.30606029502392595,0.33,0.5,0.1,2,0.8832443063031762
10,12.0,6.365041e-07,0.34862304893244206,0.33,0.5,0.1,2,1.4092168368794815
11,90.0,1.4e-08,1.0,0.33,0.5,0.1,2,1.7014498345972773
12,1902671923.0,1.437479e-08,0.0,0.33,0.5,0.1,2,5.2024123615620175
13,1.0,1.267505e-06,0.55260682438981,0.33,0.5,0.1,3,0.37238178814365336
14,4.0,3.45768e-06,0.2912380809463763,0.33,0.5,0.1,3,0.7640999229442266
15,9.0,1.726368e-06,0.3463193633493361,0.33,0.5,0.1,3,1.2851000971747084
16,3662110242.0,1.515355e-08,0.0,0.33,0.5,0.1,3,5.203809804710258
17,1.0,8.985857e-07,0.48990720617257516,0.33,0.5,0.1,4,0.3603102041021573
18,7.0,1.723793e-06,0.3199866311190884,0.33,0.5,0.1,4,0.5761659770190991
19,9.0,1.184988e-06,0.29918952765766405,0.33,0.5,0.1,4,1.3752294310585729
20,12.0,2.45753e-06,0.3124291632614861,0.33,0.5,0.1,4,0.8631952144618542
21,89.0,2.8e-08,0.297,0.33,0.5,0.1,4,2.106471995597535
22,1.0,1.255982e-06,0.37986514688647566,0.33,0.5,0.1,5,0.37967712250091035
23,7.0,3.386102e-06,0.31839937320061057,0.33,0.5,0.1,5,0.7417213543482731
24,8.0,1.788563e-06,0.40961512468575795,0.33,0.5,0.1,5,1.360507034366798
25,1.0,8.873005e-07,0.47829116870235633,0.33,0.5,0.1,6,0.3459829920228221
26,5.0,3.050587e-06,0.34493131376779834,0.33,0.5,0.1,6,0.6400976923664656
27,6.0,1.972669e-06,0.29713253495600556,0.33,0.5,0.1,6,1.1222296912013228
28,106.0,1.4e-08,1.0,0.33,0.5,0.1,6,2.311700537674646
29,1.0,1.67301e-06,0.4713779665712144,0.33,0.5,0.1,7,0.4239619562882303
30,4.0,1.963804e-06,0.3085934913768882,0.33,0.5,0.1,7,0.7308741773020843
31,6.0,2.489833e-06,0.30429023017474127,0.33,0.5,0.1,7,1.1262121932691644
32,14.0,3.535e-07,0.2900396039603961,0.33,0.5,0.1,7,1.7410393698089892
33,1.0,1.449121e-06,0.5075816500738494,0.33,0.5,0.1,8,0.4162989453470322
34,4.0,1.699721e-06,0.2734894458521918,0.33,0.5,0.1,8,0.7254774937471926
35,8.0,1.660614e-06,0.3284006196904679,0.33,0.5,0.1,8,1.3578905708312654
36,9.0,1.619649e-06,0.2972561750519198,0.33,0.5,0.1,8,0.8789629857450201
37,1.0,1.23878e-06,0.4785718427904157,0.33,0.5,0.1,9,0.43623486598212635
38,7.0,3.656223e-06,0.3099743584316992,0.33,0.5,0.1,9,0.7659102229316425
39,13.0,1.439336e-06,0.3016576161970983,0.33,0.5,0.1,9,1.316102810633253
40,3986570268.0,1.482728e-08,0.1996952998444623,0.33,0.5,0.1,9,5.20424093944761
41,1.0,8.059387e-07,0.46851941715501016,0.33,0.5,0.1,10,0.3445937089039311
42,5.0,1.669969e-06,0.38680178049213293,0.33,0.5,0.1,10,0.5678183910605732
43,8.0,2.132099e-06,0.3054642397734188,0.33,0.5,0.1,10,0.895126218982791
44,10.0,1.333027e-06,0.303222165292476,0.33,0.5,0.1,10,1.1911099451018115
45,13.0,4.361999e-07,0.3200764909238478,0.33,0.5,0.1,10,1.6072527391062152
46,1.0,7.842082e-07,0.501133052504849,0.33,0.5,0.15,1,0.349708347413361
47,2.0,5.796768e-07,0.633148371539106,0.33,0.5,0.15,1,0.45995977955970757
48,5.0,3.638845e-06,0.275450121657115,0.33,0.5,0.15,1,0.7735252810376932
49,12.0,1.267064e-06,0.3648385542809086,0.33,0.5,0.15,1,1.5045604060362747
50,114.0,2.8e-08,0.2805,0.33,0.5,0.15,1,1.8700770857743962
51,116.0,2.8e-08,0.2805,0.33,0.5,0.15,1,2.404664276984669
52,140.0,2.8e-08,0.2805,0.33,0.5,0.15,1,0.7688832256341156
53,3783228500.0,1.575368e-08,0.0,0.33,0.5,0.15,1,5.2025292738827185
54,2.0,2.324357e-06,0.43272998166935955,0.33,0.5,0.15,2,0.4571792103237553
55,6.0,2.671496e-06,0.2943463182303991,0.33,0.5,0.15,2,0.8832443063031762
56,12.0,6.365041e-07,0.3304770542719207,0.33,0.5,0.15,2,1.4092168368794815
57,90.0,1.4e-08,1.0,0.33,0.5,0.15,2,1.7014498345972773
58,1902671923.0,1.437479e-08,0.0,0.33,0.5,0.15,2,5.2024123615620175
59,1.0,1.267505e-06,0.6284007126629437,0.33,0.5,0.15,3,0.37238178814365336
60,4.0,3.45768e-06,0.27815151903935953,0.33,0.5,0.15,3,0.7640999229442266
61,9.0,1.726368e-06,0.32722957484537873,0.33,0.5,0.15,3,1.2851000971747084
62,3662110242.0,1.515355e-08,0.0,0.33,0.5,0.15,3,5.203809804710258
63,1.0,8.985857e-07,0.5695449824007054,0.33,0.5,0.15,4,0.3603102041021573
64,7.0,1.723793e-06,0.3255469201193723,0.33,0.5,0.15,4,0.5761659770190991
65,9.0,1.184988e-06,0.28125516882871393,0.33,0.5,0.15,4,1.3752294310585729
66,12.0,2.45753e-06,0.29761698834358075,0.33,0.5,0.15,4,0.8631952144618542
67,89.0,2.8e-08,0.2805,0.33,0.5,0.15,4,2.106471995597535
68,1.0,1.255982e-06,0.4227733198133078,0.33,0.5,0.15,5,0.37967712250091035
69,7.0,3.386102e-06,0.302497522197894,0.33,0.5,0.15,5,0.7417213543482731
70,8.0,1.788563e-06,0.4189957808766033,0.33,0.5,0.15,5,1.360507034366798
71,1.0,8.873005e-07,0.550771421635619,0.33,0.5,0.15,6,0.3459829920228221
72,5.0,3.050587e-06,0.34236336974609555,0.33,0.5,0.15,6,0.6400976923664656
73,6.0,1.972669e-06,0.2810014641122539,0.33,0.5,0.15,6,1.1222296912013228
74,106.0,1.4e-08,1.0,0.33,0.5,0.15,6,2.311700537674646
75,1.0,1.67301e-06,0.5231593007235926,0.33,0.5,0.15,7,0.4239619562882303
76,4.0,1.963804e-06,0.295673097570656,0.33,0.5,0.15,7,0.7308741773020843
77,6.0,2.489833e-06,0.2880387386088412,0.33,0.5,0.15,7,1.1262121932691644
78,14.0,3.535e-07,0.2733762376237624,0.33,0.5,0.15,7,1.7410393698089892
79,1.0,1.449121e-06,0.5757519043144088,0.33,0.5,0.15,8,0.4162989453470322
80,4.0,1.699721e-06,0.2596820095235239,0.33,0.5,0.15,8,0.7254774937471926
81,8.0,1.660614e-06,0.3107806309393193,0.33,0.5,0.15,8,1.3578905708312654
82,9.0,1.619649e-06,0.2809020143664872,0.33,0.5,0.15,8,0.8789629857450201
83,1.0,1.23878e-06,0.5525365068271553,0.33,0.5,0.15,9,0.43623486598212635
84,7.0,3.656223e-06,0.2938025071284427,0.33,0.5,0.15,9,0.7659102229316425
85,13.0,1.439336e-06,0.2845386113226284,0.33,0.5,0.15,9,1.316102810633253
86,3986570268.0,1.482728e-08,0.24800507173843137,0.33,0.5,0.15,9,5.20424093944761
87,1.0,8.059387e-07,0.5460633188835161,0.33,0.5,0.15,10,0.3445937089039311
88,5.0,1.669969e-06,0.3994428281642753,0.33,0.5,0.15,10,0.5678183910605732
89,8.0,2.132099e-06,0.2881292098076433,0.33,0.5,0.15,10,0.895126218982791
90,10.0,1.333027e-06,0.28618200031457247,0.33,0.5,0.15,10,1.1911099451018115
91,13.0,4.361999e-07,0.3034831812967709,0.33,0.5,0.15,10,1.6072527391062152
92,1.0,7.842082e-07,0.5703660764161013,0.33,0.5,0.2,1,0.349708347413361
93,2.0,5.796768e-07,0.7091915622602111,0.33,0.5,0.2,1,0.45995977955970757
94,5.0,3.638845e-06,0.2605363813573741,0.33,0.5,0.2,1,0.7735252810376932
95,12.0,1.267064e-06,0.3456175131014484,0.33,0.5,0.2,1,1.5045604060362747
96,114.0,2.8e-08,0.264,0.33,0.5,0.2,1,1.8700770857743962
97,116.0,2.8e-08,0.264,0.33,0.5,0.2,1,2.404664276984669
98,140.0,2.8e-08,0.264,0.33,0.5,0.2,1,0.7688832256341156
99,3783228500.0,1.575368e-08,0.0,0.33,0.5,0.2,1,5.2025292738827185
100,2.0,2.324357e-06,0.4597139014562082,0.33,0.5,0.2,2,0.4571792103237553
101,6.0,2.671496e-06,0.2826323414368722,0.33,0.5,0.2,2,0.8832443063031762
102,12.0,6.365041e-07,0.31233105961139934,0.33,0.5,0.2,2,1.4092168368794815
103,90.0,1.4e-08,1.0,0.33,0.5,0.2,2,1.7014498345972773
104,1902671923.0,1.437479e-08,0.0,0.33,0.5,0.2,2,5.2024123615620175
105,1.0,1.267505e-06,0.686092094466578,0.33,0.5,0.2,3,0.37238178814365336
106,4.0,3.45768e-06,0.26806179058291857,0.33,0.5,0.2,3,0.7640999229442266
107,9.0,1.726368e-06,0.30941590275035336,0.33,0.5,0.2,3,1.2851000971747084
108,3662110242.0,1.515355e-08,0.0,0.33,0.5,0.2,3,5.203809804710258
109,1.0,8.985857e-07,0.6491827586288355,0.33,0.5,0.2,4,0.3603102041021573
110,7.0,1.723793e-06,0.33126219292571674,0.33,0.5,0.2,4,0.5761659770190991
111,9.0,1.184988e-06,0.26332080999976376,0.33,0.5,0.2,4,1.3752294310585729
112,12.0,2.45753e-06,0.2825873918682579,0.33,0.5,0.2,4,0.8631952144618542
113,89.0,2.8e-08,0.264,0.33,0.5,0.2,4,2.106471995597535
114,1.0,1.255982e-06,0.46568149274014004,0.33,0.5,0.2,5,0.37967712250091035
115,7.0,3.386102e-06,0.28659567119517765,0.33,0.5,0.2,5,0.7417213543482731
116,8.0,1.788563e-06,0.4283764370674483,0.33,0.5,0.2,5,1.360507034366798
117,1.0,8.873005e-07,0.6259811212665427,0.33,0.5,0.2,6,0.3459829920228221
118,5.0,3.050587e-06,0.33979542572439286,0.33,0.5,0.2,6,0.6400976923664656
119,6.0,1.972669e-06,0.265226349790394,0.33,0.5,0.2,6,1.1222296912013228
120,106.0,1.4e-08,1.0,0.33,0.5,0.2,6,2.311700537674646
121,1.0,1.67301e-06,0.5726089630475443,0.33,0.5,0.2,7,0.4239619562882303
122,4.0,1.963804e-06,0.2847391057597352,0.33,0.5,0.2,7,0.7308741773020843
123,6.0,2.489833e-06,0.27178724704294094,0.33,0.5,0.2,7,1.1262121932691644
124,14.0,3.535e-07,0.2567128712871288,0.33,0.5,0.2,7,1.7410393698089892
125,1.0,1.449121e-06,0.6439221585549678,0.33,0.5,0.2,8,0.4162989453470322
126,4.0,1.699721e-06,0.2458745731948558,0.33,0.5,0.2,8,0.7254774937471926
127,8.0,1.660614e-06,0.29316064218817056,0.33,0.5,0.2,8,1.3578905708312654
128,9.0,1.619649e-06,0.26454785368105493,0.33,0.5,0.2,8,0.8789629857450201
129,1.0,1.23878e-06,0.6265011708638946,0.33,0.5,0.2,9,0.43623486598212635
130,7.0,3.656223e-06,0.2776306558251865,0.33,0.5,0.2,9,0.7659102229316425
131,13.0,1.439336e-06,0.26741960644815854,0.33,0.5,0.2,9,1.316102810633253
132,3986570268.0,1.482728e-08,0.3140027239916987,0.33,0.5,0.2,9,5.20424093944761
133,1.0,8.059387e-07,0.6236072206120226,0.33,0.5,0.2,10,0.3445937089039311
134,5.0,1.669969e-06,0.4120838758364178,0.33,0.5,0.2,10,0.5678183910605732
135,8.0,2.132099e-06,0.2707941798418682,0.33,0.5,0.2,10,0.895126218982791
136,10.0,1.333027e-06,0.2691418353366686,0.33,0.5,0.2,10,1.1911099451018115
137,13.0,4.361999e-07,0.28688987166969404,0.33,0.5,0.2,10,1.6072527391062152
138,1.0,7.842082e-07,0.6398371330496159,0.33,0.5,0.25,1,0.349708347413361
139,2.0,5.796768e-07,0.7851542491333102,0.33,0.5,0.25,1,0.45995977955970757
140,5.0,3.638845e-06,0.2455713427299047,0.33,0.5,0.25,1,0.7735252810376932
141,12.0,1.267064e-06,0.32652537885694805,0.33,0.5,0.25,1,1.5045604060362747
142,114.0,2.8e-08,0.2475,0.33,0.5,0.25,1,1.8700770857743962
143,116.0,2.8e-08,0.2475,0.33,0.5,0.25,1,2.404664276984669
144,140.0,2.8e-08,0.2475,0.33,0.5,0.25,1,0.7688832256341156
145,3783228500.0,1.575368e-08,0.0,0.33,0.5,0.25,1,5.2025292738827185
146,2.0,2.324357e-06,0.48126728440413064,0.33,0.5,0.25,2,0.4571792103237553
147,6.0,2.671496e-06,0.27060194891380285,0.33,0.5,0.25,2,0.8832443063031762
148,12.0,6.365041e-07,0.29418506495087776,0.33,0.5,0.25,2,1.4092168368794815
149,90.0,1.4e-08,1.0,0.33,0.5,0.25,2,1.7014498345972773
150,1902671923.0,1.437479e-08,0.0,0.33,0.5,0.25,2,5.2024123615620175
151,1.0,1.267505e-06,0.741938918627615,0.33,0.5,0.25,3,0.37238178814365336
152,4.0,3.45768e-06,0.2575634918558702,0.33,0.5,0.25,3,0.7640999229442266
153,9.0,1.726368e-06,0.29195064805898263,0.33,0.5,0.25,3,1.2851000971747084
154,3662110242.0,1.515355e-08,0.0,0.33,0.5,0.25,3,5.203809804710258
155,1.0,8.985857e-07,0.721621303795357,0.33,0.5,0.25,4,0.3603102041021573
156,7.0,1.723793e-06,0.33711282632156714,0.33,0.5,0.25,4,0.5761659770190991
157,9.0,1.184988e-06,0.2507866133538905,0.33,0.5,0.25,4,1.3752294310585729
158,12.0,2.45753e-06,0.2675293115258004,0.33,0.5,0.25,4,0.8631952144618542
159,89.0,2.8e-08,0.2475,0.33,0.5,0.25,4,2.106471995597535
160,1.0,1.255982e-06,0.5087382882374653,0.33,0.5,0.25,5,0.37967712250091035
161,7.0,3.386102e-06,0.27062491107355885,0.33,0.5,0.25,5,0.7417213543482731
162,8.0,1.788563e-06,0.4377570934983373,0.33,0.5,0.25,5,1.360507034366798
163,1.0,8.873005e-07,0.6952451826394863,0.33,0.5,0.25,6,0.3459829920228221
164,5.0,3.050587e-06,0.33708215459416974,0.33,0.5,0.25,6,0.6400976923664656
165,6.0,1.972669e-06,0.2521019100605998,0.33,0.5,0.25,6,1.1222296912013228
166,106.0,1.4e-08,1.0,0.33,0.5,0.25,6,2.311700537674646
167,1.0,1.67301e-06,0.6209392020992535,0.33,0.5,0.25,7,0.4239619562882303
168,4.0,1.963804e-06,0.2749279323693217,0.33,0.5,0.25,7,0.7308741773020843
169,6.0,2.489833e-06,0.2553273653293213,0.33,0.5,0.25,7,1.1262121932691644
170,14.0,3.535e-07,0.24004950495049507,0.33,0.5,0.25,7,1.7410393698089892
171,1.0,1.449121e-06,0.7117542774794746,0.33,0.5,0.25,8,0.4162989453470322
172,4.0,1.699721e-06,0.23217695882794895,0.33,0.5,0.25,8,0.7254774937471926
173,8.0,1.660614e-06,0.27542824521532405,0.33,0.5,0.25,8,1.3578905708312654
174,9.0,1.619649e-06,0.2481648801684811,0.33,0.5,0.25,8,0.8789629857450201
175,1.0,1.23878e-06,0.7032860765918066,0.33,0.5,0.25,9,0.43623486598212635
176,7.0,3.656223e-06,0.2613439318712235,0.33,0.5,0.25,9,0.7659102229316425
177,13.0,1.439336e-06,0.2503654462891223,0.33,0.5,0.25,9,1.316102810633253
178,3986570268.0,1.482728e-08,0.35734594997861907,0.33,0.5,0.25,9,5.20424093944761
179,1.0,8.059387e-07,0.7011800748518463,0.33,0.5,0.25,10,0.3445937089039311
180,5.0,1.669969e-06,0.42465506218378907,0.33,0.5,0.25,10,0.5678183910605732
181,8.0,2.132099e-06,0.2535904758643947,0.33,0.5,0.25,10,0.895126218982791
182,10.0,1.333027e-06,0.25208416633721614,0.33,0.5,0.25,10,1.1911099451018115
183,13.0,4.361999e-07,0.2700825928662523,0.33,0.5,0.25,10,1.6072527391062152
184,1.0,7.842082e-07,0.719802505091043,0.33,0.5,0.3,1,0.349708347413361
185,2.0,5.796768e-07,0.8482723427813567,0.33,0.5,0.3,1,0.45995977955970757
