,hash,mass,cmf,tot_disk_cmf,boundary,percentage,sim_id,semi
0,1.0,3.571414e-09,0.985889008,0.33,0.5,0.1,1,0.38599613445730013
1,2.0,1.031458e-08,0.985889008,0.33,0.5,0.1,1,0.626616243359372
2,5.0,4.907014e-07,0.6875684558407292,0.33,0.5,0.1,1,0.901010564682834
3,17.0,1.716894e-06,0.28411103578373287,0.33,0.5,0.1,1,1.207003496496614
4,28.0,1.288883e-06,0.30821546820120377,0.33,0.5,0.1,1,2.1946137049397834
5,39.0,1.051691e-06,0.27330732238169014,0.33,0.5,0.1,1,1.572721416044071
6,82.0,1.4e-08,1.0,0.33,0.5,0.1,1,5.2055725528017485
7,127.0,7.449397e-07,0.3650703430626666,0.33,0.5,0.1,1,
8,1565786989.0,1.4e-08,0.0,0.33,0.5,0.1,1,
9,5.0,8.021971e-07,0.5667806571838462,0.33,0.5,0.1,2,0.4475532854269146
10,17.0,1.612884e-06,0.3035805938824735,0.33,0.5,0.1,2,0.718617790169643
11,28.0,2.502864e-06,0.3173671841336279,0.33,0.5,0.1,2,1.0139720437617796
12,33.0,4.207785e-08,0.297,0.33,0.5,0.1,2,1.838161559444198
13,91.0,2.044554e-08,0.297,0.33,0.5,0.1,2,1.9488892175518302
14,3321237907.0,1.64993e-08,0.0,0.33,0.5,0.1,2,5.203561144988754
15,1130108289.0,1.478972e-08,0.0,0.33,0.5,0.1,2,9.545171143508075
16,3349724438.0,1.4e-08,0.0,0.33,0.5,0.1,2,1.556861209456863
17,1.0,3.571414e-09,0.985889008,0.33,0.5,0.1,4,1.1706488675163185
18,2.0,1.031458e-08,0.985889008,0.33,0.5,0.1,4,0.5925739737572171
19,28.0,1.55808e-06,0.3323463634068521,0.33,0.5,0.1,4,1.7044583796128354
20,39.0,2.860519e-06,0.40221533089737616,0.33,0.5,0.1,4,
21,83.0,5.411257e-07,0.32097252064257736,0.33,0.5,0.1,4,
22,1.0,3.571414e-09,0.985889008,0.33,0.5,0.1,6,0.5432383608818007
23,17.0,1.862641e-06,0.4089958189030573,0.33,0.5,0.1,6,0.9056756791449558
24,50.0,1.876009e-06,0.3129735506679502,0.33,0.5,0.1,6,1.8262148597958137
25,83.0,5.009306e-07,0.31059323135779676,0.33,0.5,0.1,6,1.5181856319048104
26,100.0,2.07181e-08,0.27412961951144166,0.33,0.5,0.1,6,1.285708878360746
27,105.0,1.262919e-06,0.3456058974090976,0.33,0.5,0.1,6,
28,5.0,3.984345e-07,0.8260647715039195,0.33,0.5,0.1,9,0.3785233221707783
29,17.0,3.230941e-06,0.3266384018503312,0.33,0.5,0.1,9,0.6935371557544511
30,39.0,1.421326e-06,0.2837058936823566,0.33,0.5,0.1,9,1.4947638919761383
31,51.0,3.12257e-08,0.297,0.33,0.5,0.1,9,1.1858801434709472
32,115.0,1.722741e-08,0.297,0.33,0.5,0.1,9,2.397111543159151
33,4083845756.0,1.464304e-08,0.0,0.33,0.5,0.1,9,5.201759604242314
34,2.0,1.031458e-08,0.985889008,0.33,0.5,0.1,10,0.3736308131579339
35,5.0,3.313078e-07,0.9709310788257967,0.33,0.5,0.1,10,0.6925803321671526
36,17.0,2.18953e-06,0.29869384094639184,0.33,0.5,0.1,10,1.062559911206999
37,50.0,1.686873e-06,0.30294838795720064,0.33,0.5,0.1,10,1.063574237953269
38,60.0,2.750046e-08,0.297,0.33,0.5,0.1,10,1.5789566492117775
39,138.0,1.066229e-06,0.3052788344894906,0.33,0.5,0.1,10,5.203483299267175
40,1902671923.0,1.615814e-08,0.0,0.33,0.5,0.1,10,
41,1.0,3.571414e-09,0.766187809,0.33,0.6,0.1,1,0.38599613445730013
42,2.0,1.031458e-08,0.766187809,0.33,0.6,0.1,1,0.626616243359372
43,5.0,4.907014e-07,0.6207733262303334,0.33,0.6,0.1,1,0.901010564682834
44,17.0,1.716894e-06,0.29273583013622495,0.33,0.6,0.1,1,1.207003496496614
45,28.0,1.288883e-06,0.30821546820120377,0.33,0.6,0.1,1,2.1946137049397834
46,39.0,1.051691e-06,0.27490566535483085,0.33,0.6,0.1,1,1.572721416044071
47,82.0,1.4e-08,1.0,0.33,0.6,0.1,1,5.2055725528017485
48,127.0,7.449397e-07,0.3650703430626666,0.33,0.6,0.1,1,
49,1565786989.0,1.4e-08,0.0,0.33,0.6,0.1,1,
50,5.0,8.021971e-07,0.5320657209347156,0.33,0.6,0.1,2,0.4475532854269146
51,17.0,1.612884e-06,0.31366850575385696,0.33,0.6,0.1,2,0.718617790169643
52,28.0,2.502864e-06,0.3174883124590617,0.33,0.6,0.1,2,1.0139720437617796
53,33.0,4.207785e-08,0.297,0.33,0.6,0.1,2,1.838161559444198
54,91.0,2.044554e-08,0.297,0.33,0.6,0.1,2,1.9488892175518302
55,3321237907.0,1.64993e-08,0.0,0.33,0.6,0.1,2,5.203561144988754
56,1130108289.0,1.478972e-08,0.0,0.33,0.6,0.1,2,9.545171143508075
57,3349724438.0,1.4e-08,0.0,0.33,0.6,0.1,2,1.556861209456863
58,1.0,3.571414e-09,0.766187809,0.33,0.6,0.1,4,1.1706488675163185
59,2.0,1.031458e-08,0.766187809,0.33,0.6,0.1,4,0.5925739737572171
60,28.0,1.55808e-06,0.3359716304650595,0.33,0.6,0.1,4,1.7044583796128354
61,39.0,2.860519e-06,0.3973585411949263,0.33,0.6,0.1,4,
62,83.0,5.411257e-07,0.32097252064257736,0.33,0.6,0.1,4,
63,1.0,3.571414e-09,0.766187809,0.33,0.6,0.1,6,0.5432383608818007
64,17.0,1.862641e-06,0.39400916543549663,0.33,0.6,0.1,6,0.9056756791449558
65,50.0,1.876009e-06,0.32116276691425644,0.33,0.6,0.1,6,1.8262148597958137
66,83.0,5.009306e-07,0.31059323135779676,0.33,0.6,0.1,6,1.5181856319048104
67,100.0,2.07181e-08,0.27412961951144166,0.33,0.6,0.1,6,1.285708878360746
68,105.0,1.262919e-06,0.3456058974090976,0.33,0.6,0.1,6,
69,5.0,3.984345e-07,0.7125186632601732,0.33,0.6,0.1,9,0.3785233221707783
70,17.0,3.230941e-06,0.3383977874923305,0.33,0.6,0.1,9,0.6935371557544511
71,39.0,1.421326e-06,0.2837058936823566,0.33,0.6,0.1,9,1.4947638919761383
72,51.0,3.12257e-08,0.297,0.33,0.6,0.1,9,1.1858801434709472
73,115.0,1.722741e-08,0.297,0.33,0.6,0.1,9,2.397111543159151
74,4083845756.0,1.464304e-08,0.0,0.33,0.6,0.1,9,5.201759604242314
75,2.0,1.031458e-08,0.766187809,0.33,0.6,0.1,10,0.3736308131579339
76,5.0,3.313078e-07,0.9256519964503062,0.33,0.6,0.1,10,0.6925803321671526
77,17.0,2.18953e-06,0.31437220962060847,0.33,0.6,0.1,10,1.062559911206999
78,50.0,1.686873e-06,0.30294838795720064,0.33,0.6,0.1,10,1.063574237953269
79,60.0,2.750046e-08,0.297,0.33,0.6,0.1,10,1.5789566492117775
80,138.0,1.066229e-06,0.3052788344894906,0.33,0.6,0.1,10,5.203483299267175
81,1902671923.0,1.615814e-08,0.0,0.33,0.6,0.1,10,
82,1.0,3.571414e-09,0.984281713,0.33,0.6,0.15,1,0.38599613445730013
83,2.0,1.031458e-08,0.984281713,0.33,0.6,0.15,1,0.626616243359372
84,5.0,4.907014e-07,0.7559302334550889,0.33,0.6,0.15,1,0.901010564682834
85,17.0,1.716894e-06,0.29634435615420607,0.33,0.6,0.15,1,1.207003496496614
86,28.0,1.288883e-06,0.2905445132488326,0.33,0.6,0.15,1,2.1946137049397834
87,39.0,1.051691e-06,0.26169810889543044,0.33,0.6,0.15,1,1.572721416044071
88,82.0,1.4e-08,1.0,0.33,0.6,0.15,1,5.2055725528017485
89,127.0,7.449397e-07,0.34478865733696307,0.33,0.6,0.15,1,
90,1565786989.0,1.4e-08,0.0,0.33,0.6,0.15,1,
91,5.0,8.021971e-07,0.6445964626869471,0.33,0.6,0.15,2,0.4475532854269146
92,17.0,1.612884e-06,0.3047979993090763,0.33,0.6,0.15,2,0.718617790169643
93,28.0,2.502864e-06,0.3003291536793426,0.33,0.6,0.15,2,1.0139720437617796
94,33.0,4.207785e-08,0.2805,0.33,0.6,0.15,2,1.838161559444198
95,91.0,2.044554e-08,0.2805,0.33,0.6,0.15,2,1.9488892175518302
96,3321237907.0,1.64993e-08,0.0,0.33,0.6,0.15,2,5.203561144988754
97,1130108289.0,1.478972e-08,0.0,0.33,0.6,0.15,2,9.545171143508075
98,3349724438.0,1.4e-08,0.0,0.33,0.6,0.15,2,1.556861209456863
99,1.0,3.571414e-09,0.984281713,0.33,0.6,0.15,4,1.1706488675163185
100,2.0,1.031458e-08,0.984281713,0.33,0.6,0.15,4,0.5925739737572171
101,28.0,1.55808e-06,0.31940548734179247,0.33,0.6,0.15,4,1.7044583796128354
102,39.0,2.860519e-06,0.40993619644793045,0.33,0.6,0.15,4,
103,83.0,5.411257e-07,0.30421871350738683,0.33,0.6,0.15,4,
104,1.0,3.571414e-09,0.984281713,0.33,0.6,0.15,6,0.5432383608818007
105,17.0,1.862641e-06,0.41172904541085087,0.33,0.6,0.15,6,0.9056756791449558
106,50.0,1.876009e-06,0.3124864155096899,0.33,0.6,0.15,6,1.8262148597958137
107,83.0,5.009306e-07,0.2933380518379194,0.33,0.6,0.15,6,1.5181856319048104
108,100.0,2.07181e-08,0.2589001962052505,0.33,0.6,0.15,6,1.285708878360746
109,105.0,1.262919e-06,0.32640556977525875,0.33,0.6,0.15,6,
110,5.0,3.984345e-07,0.8919352156136695,0.33,0.6,0.15,9,0.3785233221707783
111,17.0,3.230941e-06,0.3323246291746121,0.33,0.6,0.15,9,0.6935371557544511
112,39.0,1.421326e-06,0.26835487006778824,0.33,0.6,0.15,9,1.4947638919761383
113,51.0,3.12257e-08,0.2805,0.33,0.6,0.15,9,1.1858801434709472
114,115.0,1.722741e-08,0.2805,0.33,0.6,0.15,9,2.397111543159151
115,4083845756.0,1.464304e-08,0.0,0.33,0.6,0.15,9,5.201759604242314
116,2.0,1.031458e-08,0.984281713,0.33,0.6,0.15,10,0.3736308131579339
117,5.0,3.313078e-07,0.9910195749204198,0.33,0.6,0.15,10,0.6925803321671526
118,17.0,2.18953e-06,0.3125503627984961,0.33,0.6,0.15,10,1.062559911206999
119,50.0,1.686873e-06,0.2861184714319312,0.33,0.6,0.15,10,1.063574237953269
120,60.0,2.750046e-08,0.2805,0.33,0.6,0.15,10,1.5789566492117775
121,138.0,1.066229e-06,0.28788121968155705,0.33,0.6,0.15,10,5.203483299267175
122,1902671923.0,1.615814e-08,0.0,0.33,0.6,0.15,10,
