,f_preferred_name,Fe,Mg,Si,Unnamed: 4
0,HIP 32768 ,0.02,0.21,0.27,
1,HIP 65536 ,-1.0,-0.6,-0.8,
2,HIP 98314 ,-0.34,-0.12,-0.22,
3,HIP 98316 ,-0.07,0.02,-0.02,
4,HIP 65550 ,-0.04,-0.06,0.06,
5,HIP 98329 ,-0.05,-0.05,-0.03,
6,HIP 98333 ,-0.18,-0.15,-0.23,
7,HD 163489 ,0.34,0.06,0.01,
8,HIP 98337 ,-0.17,0.15,0.11,
10,2MASS 19154511-1623157 ,0.03,0.02,0.02,
11,HIP 65574 ,-0.18,-0.16,-0.15,
12,HIP 32812 ,0.03,-0.2,0.04,
13,HIP 32813 ,-0.15,-0.04,-0.01,
14,HIP 65583 ,-0.1,-0.01,-0.04,
15,HIP 98353 ,-0.2,-0.07,0.03,
16,2MASS 19085844+4235134 ,-0.08,-0.07,-0.05,
17,HIP 98355 ,-0.52,-0.39,-0.49,
19,HIP 57 ,0.0,0.01,0.04,
20,HIP 65595 ,-0.01,0.03,-0.01,
21,HIP 98365 ,-0.08,-0.18,-0.16,
22,HIP 32831 ,0.34,0.17,0.2,
23,HIP 98367 ,-0.25,-0.16,-0.16,
24,2MASS 19213888+4453575 ,0.24,0.21,0.2,
25,HIP 65602 ,-0.2,-0.15,-0.21,
29,HIP 80 ,-0.52,-0.26,-0.4,
32,HIP 32851 ,-0.39,-0.25,-0.34,
33,2MASS 23342787-0134482 ,-0.01,-0.14,-0.13,
34,HIP 65626 ,-0.18,-0.14,-0.17,
36,HIP 98401 ,-0.58,-0.25,-0.4,
38,HIP 32868 ,0.11,0.08,0.11,
39,HIP 65636 ,-0.02,-0.06,-0.08,
41,HIP 65639 ,0.26,0.38,0.51,
43,HIP 65641 ,0.05,0.04,0.02,
44,HIP 32874 ,-0.03,-0.02,-0.04,
45,2MASS 19121853+4052397 ,-0.16,-0.08,0.08,
46,BD+47 02846 ,0.27,0.16,0.26,
47,HIP 98413 ,-0.34,-0.35,-0.33,
48,HD 180461 ,0.02,-0.02,0.09,
49,HIP 98416 ,-0.09,-0.03,-0.09,
50,HIP 98419 ,-0.28,-0.03,-0.19,
51,2MASS 11282927+0141264 ,-0.08,-0.07,-0.06,
53,HIP 32892 ,0.28,0.22,0.23,
54,2MASS 19243554+4040098 ,0.19,0.14,0.15,
55,HIP 98431 ,-0.27,-0.22,-0.29,
56,HIP 98442 ,0.12,0.09,0.19,
57,2MASS 19521821+4511204 ,-0.01,-0.12,-0.09,
58,HIP 32916 ,0.35,0.31,0.27,
60,2MASS 19330144+3943077 ,-0.11,-0.22,-0.12,
61,2MASS 11384307+3237333 ,-0.15,-0.12,-0.2,
63,2MASS 19343390+4439253 ,0.04,-0.01,0.0,
64,2MASS 22050653-1407180 ,-0.37,-0.34,-0.29,
65,HIP 98461 ,-0.15,-0.04,0.0,
67,2MASS 23095844-2057229 ,-1.22,-1.09,-1.02,
68,HIP 171 ,-0.77,-0.39,-0.52,
69,HIP 65708 ,-0.03,0.11,-0.01,
71,HIP 98482 ,-0.14,-0.1,-0.02,
75,HIP 184 ,0.17,0.08,0.07,
76,HIP 65721 ,-0.03,0.07,-0.05,
77,HIP 32955 ,-0.66,-0.5,-0.6,
79,HIP 65725 ,-0.03,0.01,-0.03,
80,2MASS 19272048+4857121 ,0.32,0.34,0.3,
81,HD 12782 ,-0.44,-0.08,-0.24,
82,HIP 65737 ,-0.28,-0.12,-0.2,
83,HIP 32970 ,0.33,0.35,0.34,
84,HIP 32971 ,-0.03,-0.1,-0.06,
85,HIP 98505 ,0.01,0.05,0.03,
88,HIP 213 ,0.34,0.16,0.03,
89,HIP 32984 ,0.0,-0.12,0.0,
91,HIP 32990 ,0.16,0.26,0.31,
92,HIP 65758 ,0.1,0.06,0.05,
93,HIP 32993 ,0.18,0.34,0.19,
94,HIP 32994 ,0.33,0.32,0.29,
95,HIP 98532 ,-1.08,-0.7,-0.78,
96,HD 172268 ,-0.55,-0.3,-0.44,
97,HD 121533 ,-0.33,0.02,-0.19,
100,Gaia DR2 5242077854771196544 ,0.24,0.25,0.19,
101,HIP 98557 ,-0.85,-0.52,-0.59,
102,HIP 65790 ,-0.06,0.1,0.01,
103,HIP 98565 ,-0.47,-0.3,-0.41,
104,2MASS 19140739+4056322 ,0.15,0.11,0.12,
105,2MASS 19194792+4613382 ,-0.02,-0.12,-0.08,
106,2MASS 20034497+4529242 ,0.21,0.15,0.18,
107,HIP 98571 ,-0.24,-0.06,-0.11,
108,2MASS 19253381+4803561 ,0.11,0.07,0.08,
109,HIP 33037 ,-0.2,-0.05,-0.14,
110,HIP 65808 ,0.26,0.27,0.22,
112,HIP 98583 ,-0.9,-0.51,-0.62,
113,HIP 98589 ,0.22,0.21,0.18,
114,HIP 65828 ,-0.33,-0.2,-0.23,
115,HIP 33061 ,0.48,0.4,0.45,
116,HIP 98597 ,0.0,0.05,0.01,
117,HIP 98599 ,0.35,0.34,0.35,
119,HIP 98602 ,-0.15,0.01,-0.07,
120,HD 224139 ,-0.06,-0.05,0.12,
121,HIP 33072 ,0.13,0.07,0.13,
122,HIP 305 ,0.22,0.26,0.24,
123,HIP 98614 ,0.49,0.02,0.24,
124,HIP 98621 ,-0.08,0.0,-0.07,
125,HIP 33086 ,0.17,0.04,-0.11,
126,HIP 65855 ,-0.57,-0.31,-0.49,
129,HIP 33094 ,0.06,0.23,0.12,
130,2MASS 19420921+5112106 ,0.25,0.12,0.14,
131,HIP 33109 ,0.02,0.01,0.0,
132,HIP 343 ,0.18,0.36,0.34,
133,HIP 98647 ,-0.2,-0.07,-0.16,
134,HIP 65882 ,0.1,0.02,0.08,
135,2MASS 19565318+4441379 ,-0.01,0.01,-0.02,
137,HIP 98658 ,-0.26,-0.14,-0.2,
138,2MASS 19255383+4441006 ,-0.04,-0.07,-0.09,
139,HIP 98666 ,-0.21,-0.1,-0.1,
140,HIP 33139 ,0.41,0.24,0.36,
141,HIP 98677 ,-0.33,-0.25,-0.26,
144,HIP 379 ,0.01,0.16,0.1,
145,HIP 65920 ,-0.45,-0.19,-0.26,
146,HIP 33160 ,-0.37,-0.16,-0.16,
147,HIP 394 ,-0.44,-0.25,-0.32,
148,HIP 98698 ,0.2,0.11,0.24,
149,HD 179420 ,-0.21,-0.18,-0.13,
150,HIP 98702 ,-0.11,0.0,-0.02,
152,HIP 65936 ,-0.3,-0.36,-0.13,
153,HIP 407 ,0.16,0.12,0.14,
154,2MASS 19142816-1620023 ,0.1,0.11,0.08,
155,HIP 410 ,-0.06,0.03,0.07,
156,HIP 98714 ,-0.22,-0.1,-0.2,
157,HIP 413 ,-0.08,0.08,-0.07,
158,HIP 65951 ,0.25,0.5,0.48,
159,HIP 417 ,0.18,0.35,0.44,
161,HIP 420 ,0.02,-0.03,0.03,
162,HIP 98723 ,-0.02,0.05,0.03,
164,HIP 65963 ,-0.04,0.07,-0.11,
166,HIP 98731 ,-0.19,0.07,0.0,
167,HD 154905 ,0.12,0.15,0.12,
168,HD 225644 ,0.11,0.1,0.13,
170,HIP 65971 ,-0.24,-0.3,-0.18,
171,HIP 436 ,-0.64,-0.53,-0.6,
172,HIP 65974 ,-0.68,-0.46,-0.47,
173,HIP 33212 ,0.02,0.02,-0.02,
174,HIP 65982 ,-0.42,-0.04,-0.24,
175,HIP 447 ,-0.64,-0.6,-0.38,
176,HIP 65986 ,-0.1,-0.03,-0.09,
177,HIP 33220 ,-0.6,-0.31,-0.48,
178,HIP 33221 ,-1.32,-0.96,-1.1,
179,2MASS 19014539+4310065 ,0.13,0.05,0.04,
181,HIP 459 ,0.04,0.05,0.03,
182,HIP 98764 ,-0.27,-0.18,-0.29,
183,HIP 33229 ,-0.04,0.06,0.0,
184,HIP 98767 ,0.25,0.33,0.28,
187,HIP 475 ,-0.33,-0.37,-0.18,
188,HIP 476 ,-0.03,0.09,0.12,
189,HIP 33243 ,0.14,0.34,0.35,
191,HIP 98785 ,0.08,0.12,0.08,
192,HIP 66018 ,-0.19,-0.08,-0.13,
195,HIP 33253 ,-0.26,-0.05,-0.02,
196,2MASS 18580244+4357419 ,-0.18,-0.17,-0.18,
197,HIP 98792 ,-0.57,-0.27,-0.39,
198,HIP 490 ,0.09,-0.03,0.02,
199,HIP 493 ,-0.2,-0.28,-0.15,
200,HIP 66033 ,-0.28,-0.31,-0.42,
201,HIP 501 ,-0.27,-0.3,-0.04,
203,HIP 33271 ,-0.02,0.2,0.2,
204,2MASS 20570443+3139397 ,0.02,-0.07,-0.02,
205,HIP 33275 ,0.0,0.13,-0.03,
206,HIP 33277 ,-0.06,0.03,-0.12,
207,HIP 66047 ,0.04,0.08,0.05,
208,HIP 66051 ,-0.52,-0.22,-0.29,
209,HIP 98819 ,0.09,0.07,0.05,
210,HIP 518 ,0.09,0.04,0.03,
211,HIP 522 ,0.12,0.06,0.16,
212,HIP 98828 ,0.15,0.17,0.12,
213,2MASS 18450713+4418559 ,0.06,0.08,0.03,
215,HIP 530 ,-0.03,-0.05,0.09,
216,HIP 98836 ,0.02,0.21,0.08,
217,HIP 98842 ,-0.54,-0.16,-0.25,
218,HIP 98845 ,-0.21,0.0,-0.2,
219,HIP 544 ,0.19,0.09,0.11,
221,HIP 98853 ,-0.18,-0.02,-0.12,
223,HIP 33324 ,-0.64,-0.31,-0.44,
224,2MASS 19045842+5002253 ,0.05,0.02,0.01,
225,HIP 562 ,0.08,0.14,0.17,
226,HIP 66098 ,-0.23,-0.09,-0.05,
227,HIP 569 ,-0.3,-0.2,-0.26,
228,2MASS 19205271+5128182 ,0.22,0.16,0.11,
229,HIP 98878 ,-0.26,-0.22,-0.2,
231,HIP 66113 ,-0.43,-0.21,-0.37,
232,B-13 00899 ,-2.03,-1.64,-1.67,
233,HIP 66115 ,0.11,-0.01,0.06,
237,HIP 607 ,-0.05,-0.11,-0.27,
238,HIP 66147 ,0.14,0.08,0.18,
239,HIP 98915 ,-1.0,-0.66,-0.87,
240,HIP 98916 ,-0.13,-0.01,-0.11,
241,HIP 33382 ,0.04,0.02,0.09,
242,HIP 616 ,-0.51,-0.35,-0.45,
243,HIP 98920 ,0.14,0.22,0.2,
244,HIP 98921 ,0.17,0.12,0.14,
245,HIP 98922 ,0.24,0.34,0.25,
246,HIP 33392 ,-0.03,0.04,-0.06,
249,HIP 66170 ,0.15,0.08,0.17,
251,HD 184926 ,-0.54,-0.28,-0.37,
252,HIP 33415 ,0.04,0.26,0.27,
254,HIP 33421 ,-0.02,0.11,0.09,
255,HIP 655 ,0.04,0.22,0.22,
256,HIP 656 ,-0.23,-0.08,-0.08,
257,HIP 66191 ,-0.21,-0.07,-0.16,
258,HIP 66192 ,0.22,0.24,0.22,
259,HIP 98959 ,-0.22,-0.08,-0.16,
260,HIP 98962 ,-0.17,0.09,0.05,
261,HIP 98964 ,0.1,0.16,0.16,
263,HIP 98972 ,0.0,0.0,-0.01,
264,HIP 669 ,-0.11,-0.07,-0.1,
266,HIP 671 ,-0.04,0.08,0.11,
268,HIP 98978 ,0.11,0.06,0.08,
269,HIP 33449 ,0.08,0.42,0.32,
270,HIP 682 ,0.18,0.03,0.09,
271,HIP 66219 ,-0.09,-0.17,-0.14,
272,HIP 98989 ,-1.51,-1.18,-1.31,
275,HIP 98993 ,-0.1,-0.1,-0.12,
276,HIP 699 ,-0.2,-0.12,-0.18,
277,HIP 33468 ,0.2,0.14,0.28,
279,HIP 66238 ,-0.18,-0.06,-0.15,
280,HIP 705 ,-0.8,-0.22,-0.39,
281,HIP 66249 ,0.0,0.15,0.08,
282,HIP 66250 ,0.16,0.05,-0.06,
283,HIP 66251 ,-0.88,-0.48,-0.65,
284,HIP 716 ,-0.09,0.03,0.03,
286,HIP 99017 ,0.0,-0.19,-0.03,
288,HIP 66257 ,-0.24,-0.09,-0.23,
289,HIP 99025 ,-0.09,-0.1,0.07,
290,HIP 723 ,0.05,0.06,0.15,
291,HIP 726 ,0.35,0.35,0.38,
293,HIP 99031 ,0.03,0.15,0.09,
294,HIP 729 ,0.09,0.18,0.23,
295,HIP 99034 ,0.04,0.06,0.05,
297,HIP 746 ,-0.09,-0.11,-0.02,
298,HD 144463a ,-0.32,-0.24,-0.31,
299,HIP 66290 ,-0.5,-0.23,-0.49,
302,HIP 765 ,0.06,0.03,0.1,
303,HIP 768 ,0.03,0.1,0.06,
304,HIP 33537 ,-0.33,-0.16,-0.29,
305,HD 181877 ,-0.19,-0.18,-0.17,
308,HIP 66320 ,-0.22,-0.01,-0.06,
309,HIP 33553 ,0.14,0.02,-0.09,
310,HIP 99091 ,-0.23,-0.15,-0.16,
311,HD 174620 ,-0.2,-0.27,-0.32,
313,HIP 795 ,0.12,0.01,0.04,
314,HIP 99100 ,-0.05,0.02,-0.01,
315,HIP 801 ,-0.19,-0.12,-0.16,
316,HIP 99107 ,-0.2,-0.16,-0.2,
318,HIP 33578 ,-0.26,0.25,0.01,
319,HIP 99115 ,0.27,0.32,0.29,
320,HIP 33580 ,0.0,-0.01,-0.02,
321,HIP 814 ,0.11,0.11,0.23,
322,HIP 33582 ,-0.54,-0.22,-0.36,
323,HIP 33588 ,0.18,0.35,0.28,
324,HIP 33595 ,-0.48,-0.28,-0.36,
325,HIP 99139 ,-0.33,-0.06,-0.19,
331,HIP 846 ,-0.12,0.01,-0.14,
332,HIP 66385 ,0.14,0.25,0.41,
334,HIP 33624 ,-0.5,-0.34,-0.46,
335,HIP 66393 ,-0.34,0.08,0.02,
336,HIP 33628 ,-0.05,-0.16,0.08,
337,HIP 33634 ,0.28,0.24,0.25,
338,HIP 99171 ,0.01,0.26,0.17,
339,HIP 99174 ,0.21,0.2,0.11,
340,HIP 873 ,0.11,0.19,0.17,
341,HIP 33642 ,-0.2,-0.07,-0.18,
343,2MASS 18493343+4316544 ,0.37,0.26,0.17,
344,2MASS 19095549+4915044 ,0.27,0.19,0.19,
345,HIP 66427 ,0.02,0.14,0.2,
346,HIP 66435 ,-0.3,-0.23,-0.35,
347,HIP 33668 ,-0.15,0.0,-0.08,
349,HIP 910 ,-0.3,-0.23,-0.28,
350,HIP 919 ,0.36,0.1,0.18,
351,HIP 99224 ,-0.06,0.07,0.01,
352,2MASS 19473258+4013416 ,0.09,0.05,0.02,
353,HIP 33690 ,0.21,0.25,0.19,
354,HIP 99229 ,-0.16,-0.13,-0.18,
355,HIP 66464 ,-0.4,-0.37,-0.29,
356,HIP 99232 ,-0.06,0.01,-0.11,
357,HIP 934 ,-0.25,-0.24,-0.26,
358,HIP 99238 ,-0.47,-0.29,-0.43,
359,HIP 99240 ,0.37,0.37,0.39,
360,HIP 99241 ,-0.2,-0.16,-0.15,
361,HIP 99243 ,-0.02,-0.04,-0.19,
362,HIP 944 ,-0.23,-0.01,0.06,
363,BD+42 03247 ,0.04,0.03,0.0,
364,HIP 950 ,-0.05,-0.11,-0.06,
365,HIP 33719 ,0.24,0.22,0.23,
366,HIP 66487 ,0.24,0.2,0.22,
367,HIP 954 ,0.11,-0.03,-0.11,
370,HIP 966 ,-0.12,-0.02,0.03,
371,HIP 33736 ,0.18,0.1,0.17,
373,HIP 66509 ,-0.55,-0.28,-0.43,
375,HIP 66511 ,-0.18,-0.07,-0.22,
376,HIP 99281 ,-0.23,-0.06,-0.13,
378,BD+36 02593 ,0.34,0.23,0.23,
380,HIP 99291 ,0.01,-0.08,-0.09,
381,HIP 99294 ,-0.1,0.06,-0.09,
382,2MASS 19563341+4056564 ,0.2,0.18,0.19,
384,2MASS 19202179+3949011 ,0.09,0.06,0.02,
385,2MASS 19011470+4750549 ,0.22,0.16,0.17,
386,HIP 99306 ,0.4,0.31,0.26,
388,HD 183954 ,0.17,0.2,0.16,
389,HIP 66547 ,-0.02,-0.02,-0.04,
390,HIP 99316 ,-0.09,0.1,0.01,
391,HIP 99322 ,-0.22,-0.16,-0.27,
392,2MASS 19452085+4336003 ,-0.24,-0.2,-0.2,
393,HIP 99332 ,0.1,0.1,0.06,
394,HIP 1031 ,-0.07,0.0,-0.08,
395,HIP 66567 ,0.06,0.02,-0.08,
396,2MASS 19371813+4600081 ,0.16,0.05,0.1,
397,2MASS 19263676+4441177 ,0.19,0.15,0.18,
398,HIP 99344 ,-0.37,-0.12,-0.22,
399,HIP 33817 ,0.22,0.26,0.2,
400,2MASS 21303731+4851595 ,-0.89,-0.52,-0.61,
403,HIP 99367 ,-0.06,0.08,-0.03,
404,2MASS 19441136+4244348 ,0.15,0.1,0.11,
405,HIP 1076 ,0.29,0.07,0.07,
406,HIP 33848 ,0.05,-0.01,-0.02,
407,2MASS 18560265+4429395 ,0.05,0.07,-0.11,
409,HIP 99386 ,-0.47,-0.37,-0.29,
